LINE_ID,PRIVATE_LA,PGMN_WELL,CONS_AUTHO,COUNTY,TOWNSHIP,LOT,CONCESSION,AQUIFER_TY,AQUIFER_LI,STRATIGRAP,STRATI_DES,NO_RECORD,WELL_DEPTH,WEL_PIEZOM,SCREEN_HOL,lat,lon,ELVA_GROUN,SITE_ID
138,PRIVATE LAND,W0000146-1,QUINTE CONSERVATION,PRINCE EDWARD COUNTY,AMELIASBURGH,LOT 32,CON 2,BEDROCK,LIMESTONE,5303804,N/A,N/A,13.7,15.88,OPEN HOLE: 3-13.7M,0,0,75.27,146
139,NOT PRIVATE LAND,W0000205-2,ESSEX REGION C.A.,ESSEX COUNTY,MERSEA,LOT 5,CON 9,OVERBURDEN,SAND,2105657,N/A,N/A,28.96,15.88,OPEN HOLE: 25.60M-28.96M,42.12283,-82.60287,194,205
140,PRIVATE LAND,W0000042-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,DARLINGTON,LOT 4,CON 8,OVERBURDEN,SAND AND GRAVEL,1901748,N/A,N/A,50,15.24,OPEN AT END OF CASING,0,0,340.65,42
141,NOT PRIVATE LAND,W0000043-3,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,DARLINGTON,LOT 12,CON 2,OVERBURDEN,TILL-LIMESTONE INTERFACE,1900044,N/A,N/A,36.6,3.81,SCREEN: 34.7 - 35.7 M,43.92296,-78.693657,125,43
142,NOT PRIVATE LAND,W0000097-2,SOUTH NATION CONSERVATION,OTTAWA-CARLETON REGIONAL MUNICIPALITY,OSGOODE,LOT 22,CON 8,BEDROCK,DOLOMITE,N/A,"MW01-1 GOLDER ASSOCIATES, MAY 2001",N/A,6.4,3.18,SCREEN 6 - 6.82 M,45.23144,-75.4699,86.21,97
143,NOT PRIVATE LAND,W0000177-1,SAUGEEN VALLEY C.A.,GREY COUNTY,SULLIVAN,LOT 22,CON 3,BEDROCK,DOLOSTONE,2504262,N/A,N/A,10.06,17.14,OPEN HOLE: 10.06M-10.06M,44.35649,-80.910807,309.15,177
144,NOT PRIVATE LAND,W0000139-1,GANARASKA REGION C.A.,DURHAM REGIONAL MUNICIPALITY,CLARKE,LOT 10,CON 28,BEDROCK,"LIMESTONE, DOLOSTONE, SHALE,",N/A,N/A,N/A,215.8,3.81,N/A-  TO BE DETERMINED,44.0666,-78.65441,367.47,139
145,NOT PRIVATE LAND,W0000400-3,MISSISSIPPI VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,WEST CARLETON,LOT 1,CON 3,BEDROCK,GREY LIMESTONE AND GREY WHITE SANDSTONE,1534292,N/A,N/A,44.8,15.88,OPEN HOLE: 20.1 - 44.8M,45.42067,-76.02408,62.67,400
146,NOT PRIVATE LAND,W0000021-1,TORONTO AND REGION C.A.,PEEL REGIONAL MUNICIPALITY,CHINGUACOUSY,LOT 14,CON 2,OVERBURDEN,"SAND, GRAVEL",4901205,N/A,N/A,42.06,4.78,SLOTTED PIPE: 21.03M-27.13M,43.74383,-79.794029,250.85,21
147,NOT PRIVATE LAND,W0000439-1,SEVERN SOUND ENVIRONMENTAL ASSOCIATION,SIMCOE COUNTY,MEDONTE,LOT 6,CON 8,OVERBURDEN,SAND AND GRAVEL,N/A,"BH-19 USED FROM OGS, 2004: SILTY SAND 6.09; SANDY GRAVEL WITH SOME SILT AND SAND 44.2; SANDY GRAVEL 50.6; CLAY, SAND AND GRAVEL 59.4",N/A,58.57,6.35,SCREEN: 54.04~59.4M,44.55587,-79.586662,326.06,439
148,NOT PRIVATE LAND,W0000452-1,KETTLE CREEK C.A.,ELGIN COUNTY,YARMOUTH,LOT 3,CON 4,OVERBURDEN,"SAND, GRAVEL",2003226,N/A,N/A,60.96,15.75,OPEN HOLE: 60.35-60.96M,42.70875,-81.196734,210.58,452
149,NOT PRIVATE LAND,W0000035-5,GRAND RIVER C.A.,WATERLOO REGIONAL MUNICIPALITY,DUMFRIES,LOT 24,CON 12,BEDROCK,LIMESTONE,6507680,N/A,N/A,57.3,4.76,SCREEN: 54.86M-56.39M,43.36557,-80.38877,316.97,35
150,PRIVATE LAND,W0000036-1,GRAND RIVER C.A.,WATERLOO REGIONAL MUNICIPALITY,WILMOT,LOT 1,CON 2,OVERBURDEN,"SAND, GRAVEL",6508878,N/A,N/A,91.44,4.76,SCREEN: 73.15M-76.2M,0,0,365.24,36
151,NOT PRIVATE LAND,W0000275-1,MAITLAND VALLEY C.A.,WELLINGTON COUNTY,MINTO,LOT 25,CON 7,BEDROCK,LIMESTONE,N/A,SILTY SAND TILL - 4.3M; SILT TILL - 13.0M; LIMESTONE - 18.6M,N/A,18.9,4.44,SCREEN: 15.4M-18.3M,43.89401,-80.882814,386.44,275
152,PRIVATE LAND,W0000151-1,QUINTE CONSERVATION,LENNOX AND ADDINGTON COUNTY,CAMDEN EAST,LOT 37,CON 7,BEDROCK,GRANITE TO BE DETERMINED,N/A,N/A,3702570 /3703351/3703385,23.66,15.88,N/A-  TO BE DETERMINED,0,0,149.98,151
153,NOT PRIVATE LAND,W0000033-1,HAMILTON REGION C.A.,HAMILTON CITY,BARTON,LOT 2,CON 8,BEDROCK,LIMESTONE,6809018,N/A,N/A,16.46,15.88,OPEN HOLE: 9.75M-16.46M,43.19329,-79.829861,189.943,33
154,NOT PRIVATE LAND,W0000067-1,GREY SAUBLE C.A.,GREY COUNTY,ARTEMESIA,LOT 26,CON 10,BEDROCK,LIMESTONE,2503909,N/A,N/A,35.36,12.7,OPEN HOLE: 6.1 - 35.4 M,44.31287,-80.524612,414.83,67
155,NOT PRIVATE LAND,W0000205-3,ESSEX REGION C.A.,ESSEX COUNTY,MERSEA,LOT 5,CON 9,BEDROCK,LIMESTONE,2105658,N/A,N/A,35.36,15.88,OPEN HOLE: 34.44M-35.36M,42.12283,-82.60287,194,205
156,NOT PRIVATE LAND,W0000206-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,OTONABEE,LOT 20,CON 6,BEDROCK,GREY LIMESTONE,5108009,N/A,N/A,11.6,15.88,OPEN HOLE: 5.5 - 11.6 M,44.2852,-78.17195,197.97,206
157,PRIVATE LAND,W0000149-2,QUINTE CONSERVATION,PRINCE EDWARD COUNTY,MARMORA,LOT 9,CON 8,BEDROCK,"LIMESTONE,",N/A,N/A,N/A,10.27,5.08,N/A-  TO BE DETERMINED,0,0,193.96,149
158,NOT PRIVATE LAND,W0000056-1,UPPER THAMES RIVER C.A.,MIDDLESEX COUNTY,DELAWARE,LOT 1,CON D,OVERBURDEN,GRAVEL,4108583,N/A,N/A,31.09,5.08,SCREEN: 26.5M-31.1M,42.93335,-81.421464,214.39,56
159,NOT PRIVATE LAND,W0000233-1,AUSABLE BAYFIELD C.A.,HURON COUNTY,STANLEY,N/A,N/A,BEDROCK,ROCK (LIMESTONE),3003753,N/A,N/A,64.31,15.88,OPEN HOLE: 51.8M-64.3M,43.55822,-81.694606,207.72,233
160,NOT PRIVATE LAND,W0000346-1,MAITLAND VALLEY C.A.,BRUCE COUNTY,KINLOSS,LOT 16,CON 2,OVERBURDEN,"SAND, GRAVEL",1410377,N/A,N/A,17.07,5.08,SCREEN: 9.75M-15.85M,43.96823,-81.479824,296.49,346
161,NOT PRIVATE LAND,W0000333-1,CROWE VALLEY C.A.,HASTINGS COUNTY,TUDOR AND CASHEL,LOT 23,WEST OF HASTINGS ROAD,BEDROCK,GRAY GRANITE,2919840,N/A,N/A,68.6,15.88,OPEN HOLE: 6.1 - 68.6M,44.69355,-77.60746,285.24,333
162,NOT PRIVATE LAND,W0000323-2,NOTTAWASAGA VALLEY C.A.,SIMCOE COUNTY,WEST GWILLIMBURY,LOT 7,CON 11,OVERBURDEN,SANDY SILT,5737734,N/A,N/A,18.29,5.08,SCREEN: 15.24M-18.29M,44.16161,-79.64186,269.45,323
163,NOT PRIVATE LAND,W0000012-1,TORONTO AND REGION C.A.,DURHAM REGIONAL MUNICIPALITY,PICKERING,LOT 11,CON 7,OVERBURDEN,"CLAY, SILT, SAND",4605544,N/A,N/A,12.19,5,SCREEN: 11.28M-12.19M,43.95987,-79.083815,179.48,12
164,NOT PRIVATE LAND,W0000248-1,LOWER THAMES VALLEY C.A.,MIDDLESEX COUNTY,MOSA,LOT 9,CON 1,OVERBURDEN,GRAVEL,4106140,N/A,N/A,32.31,15.88,SCREEN: 29.6M-31.1M,42.7131,-81.748949,219.63,248
165,PRIVATE LAND,W0000040-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,DARLINGTON,LOT 32,CON 3,OVERBURDEN,TILL,N/A,N/A,1901103,9.75,91.44,N/A-  TO BE DETERMINED,0,0,130.88,40
166,NOT PRIVATE LAND,W0000022-1,GRAND RIVER C.A.,WATERLOO REGIONAL MUNICIPALITY,WILMOT,LOT 12,CON 2,OVERBURDEN,"SAND, CLAY TILL",6508850,N/A,N/A,25.09,4.78,SCREEN: 21.95M-24.99M,43.36467,-80.600912,361.95,22
167,PRIVATE LAND,W0000130-1,QUINTE CONSERVATION,HASTINGS COUNTY,HUNGERFORD,LOT 9,CON 9,BEDROCK,RED AND BLACK GRANITE,2907416,N/A,N/A,65,15.88,OPEN HOLE: 3.6~62.83M,0,0,161.85,130
168,PRIVATE LAND,W0000131-1,QUINTE CONSERVATION,LENNOX AND ADDINGTON COUNTY,KALADAR,LOT 20,CON 4,BEDROCK,GRANITE,3707680,N/A,N/A,52,15.88,OPEN HOLE: 6.7 - 52M,0,0,251.19,131
169,NOT PRIVATE LAND,W0000132-1,QUINTE CONSERVATION,HASTINGS COUNTY,SIDNEY,LOT 13,CON 5,INTERFACE,BROWN SAND AND GRAVEL /LIMESTONE,2909393,N/A,N/A,17.7,20.96,SCREEN 13.7 - 17.0 M,44.20952,-77.55373,122.58,132
170,NOT PRIVATE LAND,W0000165-3,CREDIT VALLEY CONSERVATION,PEEL REGIONAL MUNICIPALITY,CALEDON,LOT 1,CON 2,OVERBURDEN,"SAND, GRAVEL",4909397,N/A,N/A,174.04,6.03,SCREEN: 167.95M-174.0M,43.82231,-79.897763,281.72,165
171,NOT PRIVATE LAND,W0000166-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,CLARINGTON,LOT 21,CON 7,OVERBURDEN,SAND,1913007,N/A,N/A,47.2,15.88,SCREEN: 40.5- 41.15M,44.01102,-78.779615,218.78,166
172,NOT PRIVATE LAND,W0000167-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,CLARINGTON,LOT 21,CON 7,OVERBURDEN,SILTY TILL,1901733,N/A,N/A,11.6,16.21,SCREEN: 9.7 - 11.6 M,44.00261,-78.77575,196.69,167
173,NOT PRIVATE LAND,W0000311-1,SEVERN SOUND ENVIRONMENTAL ASSOCIATION,SIMCOE COUNTY,MIDLAND,LOT 105,CON 1,OVERBURDEN,TILL,N/A,N/A,N/A,100,5,N/A-  TO BE DETERMINED,44.73069,-79.913375,260.15,311
174,NOT PRIVATE LAND,W0000312-1,SEVERN SOUND ENVIRONMENTAL ASSOCIATION,SIMCOE COUNTY,TAY,LOT 112,MILITARY RESERVE,OVERBURDEN,"SAND AND GRAVEL,",5703913,N/A,N/A,33.63,11.91,SCREEN: 26 ~ 33.6 M,44.7727,-79.893529,194.77,312
175,NOT PRIVATE LAND,W0000313-1,SEVERN SOUND ENVIRONMENTAL ASSOCIATION,SIMCOE COUNTY,TAY,LOT 112,MILITARY RESERVE,OVERBURDEN,LIGHT YELLOW SAND,5709004,N/A,N/A,32.6,15.8,SCREEN: 30.9 - 32.6 M,44.77253,-79.893482,193.54,313
176,NOT PRIVATE LAND,W0000114-2,GANARASKA REGION C.A.,DURHAM REGIONAL MUNICIPALITY,CLARINGTON,LOT 22,CON 5,OVERBURDEN,SILTY TILL,1900956,N/A,N/A,8.5,3.81,SCREEN: 7-8 M,43.99734,-78.5924,236.74,114
177,PRIVATE LAND,W0000125-1,CONSERVATION HALTON,HALTON REGIONAL MUNICIPALITY,TRAFALGAR,LOT 8,CON 2,OVERBURDEN,SANDY SILT TILL,2809620,N/A,N/A,13.4,4.44,SCREEN: 11.9M-13.4M,0,0,197.601,125
178,PRIVATE LAND,W0000135-1,QUINTE CONSERVATION,LENNOX AND ADDINGTON COUNTY,RICHMOND,LOT 9,CON 3,OVERBURDEN,"SILT, CLAY, SAND",N/A,N/A,"MOE MONITORING WELLS: 3701876-877, 3701881-882, 3701870",13.32,16.88,N/A-  TO BE DETERMINED,0,0,119.17,135
179,PRIVATE LAND,W0000136-1,QUINTE CONSERVATION,PRINCE EDWARD COUNTY,HALLOWELL,LOT 1,CON 2,BEDROCK,GREY LIMESTONE,5301923,N/A,N/A,18.3,20.32,OPEN HOLE: 3-18.3M,0,0,95.66,136
180,NOT PRIVATE LAND,W0000156-3,RIDEAU VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,NEPEAN,LOT 12,CON 5,BEDROCK,GREY LIMESTONE AND SHALE,1532866,N/A,N/A,49.75,5.08,SCREEN : 26.21 - 48.77M TO BE CONFIRMED,45.23221,-75.808841,91.7,156
181,NOT PRIVATE LAND,W0000201-3,UPPER THAMES RIVER C.A.,OXFORD COUNTY,ZORRA,LOT 2,CON 7,BEDROCK,LIMESTONE,4708603,N/A,N/A,32,15.88,OPEN HOLE: 23.16M-32.00M,43.11404,-80.843862,305.36,201
182,NOT PRIVATE LAND,W0000266-1,QUINTE CONSERVATION,HASTINGS COUNTY,TUDOR AND CASHEL,LOT 18,CON 6,BEDROCK,GREY GRANITE,2919751,N/A,N/A,69.88,15.88,OPEN HOLE: 6.1 - 68.6M,44.71834,-77.587893,300.06,266
183,PRIVATE LAND,W0000267-1,QUINTE CONSERVATION,HASTINGS COUNTY,THURLOW,LOT 11,CON 5,BEDROCK,GREY LIMESTONE,2918843,N/A,N/A,12.2,15.88,OPEN HOLE: 8.26 - 12.2M,0,0,113.34,267
184,NOT PRIVATE LAND,W0000178-1,GRAND RIVER C.A.,HALDIMAND-NORFOLK REGIONAL MUNICIPALITY,CAYUGA,LOT 48,CON 1,BEDROCK,LIMESTONE,4513232,N/A,N/A,25.91,15.88,OPEN HOLE: 6.7M-25.9M,42.94455,-79.946116,216.365,178
185,NOT PRIVATE LAND,W0000338-1,CONSERVATION HALTON,HAMILTON CITY,WEST FLAMBOROUGH,LOT 25,CON 2,OVERBURDEN,N/A,N/A,N/A,6806128,3.14,5.08,SCREEN - DETAILS TO BE DETERMINED LATER,43.29775,-79.914922,148.41,338
186,NOT PRIVATE LAND,W0000264-2,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,CLARINGTON,LOT 13,CON 9,OVERBURDEN,GRAVEL,1916292,N/A,N/A,9.91,3.18,SCREEN: 7.50 - 9.91M,44.05282,-78.759015,291.66,264
187,NOT PRIVATE LAND,W0000376-1,QUINTE CONSERVATION,PRINCE EDWARD COUNTY,SOUTH MARYSBURGH,LOT 24,CON 1,BEDROCK,BROWN LIMESTONE,5307118,N/A,N/A,15.5,15.88,OPEN HOLE : 6.7 - 15.5M,43.93468,-77.089651,84.77,376
188,NOT PRIVATE LAND,W0000164-2,CREDIT VALLEY CONSERVATION,WELLINGTON COUNTY,ERIN,LOT 23,CON 8,OVERBURDEN,"SILTY SAND, SANDY SILT, SAND",6714839,N/A,N/A,8.08,3.18,SCREEN: 6.4M-7.9M,43.78441,-80.134382,427.76,164
189,NOT PRIVATE LAND,W0000200-1,CATARAQUI REGION C.A.,LEEDS AND GRENVILLE UNITED COUNTIES,ATHENS,LOT 6,CON 10,BEDROCK,SANDY DOLOSTONE,3614104,N/A,N/A,18.3,15,OPEN HOLE : 7.0 - 18.3M,44.66067,-75.934571,127.57,200
190,PRIVATE LAND,W0000229-1,QUINTE CONSERVATION,HASTINGS COUNTY,MADOC,LOT 4,CON 2,BEDROCK,LIMESTONE,2901029,N/A,N/A,30,15.88,OPEN HOLE: 2.7 - 30M,0,0,225.87,229
191,NOT PRIVATE LAND,W0000230-1,NOTTAWASAGA VALLEY C.A.,SIMCOE COUNTY,ESSA,LOT 28,CON 1,OVERBURDEN,"GRAVEL, SAND",5730549,N/A,N/A,57.3,5.72,SCREEN: 56.1M-57.3M,44.30193,-79.90583,200.69,230
192,NOT PRIVATE LAND,W0000231-1,NOTTAWASAGA VALLEY C.A.,SIMCOE COUNTY,TOSORONTIO,LOT 5,CON 6,OVERBURDEN,GRAVEL,5705649,N/A,N/A,46.63,15.88,SCREEN: 39.9M-43.5M,44.16577,-79.90813,223.33,231
193,PRIVATE LAND,W0000172-1,LOWER TRENT REGION C.A.,HASTINGS COUNTY,RAWDON,LOT 15,CON 1,OVERBURDEN,GREY GRAVEL,2906338,N/A,N/A,13.2,15.88,OPEN AT END OF CASING,0,0,126.87,172
194,PRIVATE LAND,W0000173-1,LOWER TRENT REGION C.A.,NORTHUMBERLAND COUNTY,SEYMOUR,LOT 17,CON 7,BEDROCK,LIMESTONE,4501953,N/A,N/A,13.1,15.88,OPEN HOLE: 5.8 - 13.1 M,0,0,167.03,173
195,PRIVATE LAND,W0000174-1,LOWER TRENT REGION C.A.,NORTHUMBERLAND COUNTY,CRAMAHE,LOT 3,CON 3,OVERBURDEN,SAND,4505576,N/A,N/A,15.8,15.24,OPEN AT END OF CASING: 13.7 - 15.8M,0,0,188.47,174
196,NOT PRIVATE LAND,W0000180-1,UPPER THAMES RIVER C.A.,OXFORD COUNTY,ZORRA,LOT 7,CON 16,BEDROCK,LIMESTONE,4708277,N/A,N/A,41.91,15.88,OPEN HOLE: 16.15M-41.91M,43.18462,-80.71099,301.35,180
197,NOT PRIVATE LAND,W0000181-1,LOWER THAMES VALLEY C.A.,CHATHAM-KENT DIVISION,HARWICH,LOT 14,CON 3,INTERFACE,"GRAVEL, SHALE",3304974,N/A,N/A,38.1,10.16,OPEN HOLE: 35.9M-36.4M,42.32005,-81.936571,179.45,181
198,PRIVATE LAND,W0000182-1,LOWER THAMES VALLEY C.A.,CHATHAM-KENT DIVISION,HOWARD,LOT 16,CON 1,OVERBURDEN,"SANDY GRAVEL,",3305424,N/A,N/A,22,16.8,SCREEN: 15.85M-20.4M,0,0,185.56,182
199,NOT PRIVATE LAND,W0000186-1,RAISIN REGION C.A.,"STORMONT, DUNDAS AND GLENGARRY UNITED COUNTIES",ALEXANDRIA,LOT 1,CON 3,BEDROCK,LIMESTONE,1805098,N/A,N/A,36.58,15.88,OPEN HOLE : 12.8-36.58 M,45.30638,-74.638111,82.07,186
200,NOT PRIVATE LAND,W0000188-2,SAUGEEN VALLEY C.A.,BRUCE COUNTY,BRANT,LOT 1,CON 1,BEDROCK,LIMESTONE,1410311,N/A,N/A,19.81,5.08,SCREEN: 16.76M-19.81M,44.12563,-81.2163,305.21,188
201,NOT PRIVATE LAND,W0000188-3,SAUGEEN VALLEY C.A.,BRUCE COUNTY,BRANT,LOT 1,CON 1,BEDROCK,LIMESTONE,1410311,N/A,N/A,78.33,5.08,SCREEN: 75.3M-78.3M,44.12563,-81.2163,305.21,188
202,NOT PRIVATE LAND,W0000189-2,GANARASKA REGION C.A.,VICTORIA COUNTY,CLARINGTON,LOT 28,CON 10,OVERBURDEN,SAND AND GRAVEL,1902683,N/A,N/A,131,16.51,SCREEN: 116.4-117.7M - NEEDS CONFIRMATION (FROM RECORD),44.06647,-78.6543,367.6,189
203,NOT PRIVATE LAND,W0000195-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,DUMMER,LOT 18,CON 2,BEDROCK,GREY LIMESTONE,5117680,N/A,N/A,15.3,15.88,OPEN HOLE: 6.1-15.85M,44.46348,-78.12756,221.25,195
204,PRIVATE LAND,W0000197-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,SMITH,LOT 24,CON 7,BEDROCK,GREY LIMESTONE,5104019,N/A,N/A,12.12,15.88,OPEN HOLE: 3.7 - 12.12M,0,0,259.09,197
205,PRIVATE LAND,W0000198-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,DUMMER,LOT 5,CON 7,BEDROCK,GREY LIMESTONE,5108692,N/A,N/A,45,15.88,OPEN HOLE: 6.7 - 45M,0,0,232.68,198
206,NOT PRIVATE LAND,W0000249-1,LOWER THAMES VALLEY C.A.,CHATHAM-KENT DIVISION,HOWARD,LOT 3,CON 9,OVERBURDEN,"GRAVEL, SAND",3308747,N/A,N/A,35.66,5.72,SCREEN: 31.1M-35.7M,42.4196,-81.930515,200.09,249
207,PRIVATE LAND,W0000252-1,RIDEAU VALLEY C.A.,LANARK COUNTY,SOUTH SHERBROOKE,LOT 19,CON 2,BEDROCK,RED AND BLACK GRANITE,3513962,N/A,N/A,30.89,15.88,OPEN HOLE: 6.7 - 31.3M,0,0,180.7,252
208,NOT PRIVATE LAND,W0000253-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,OTONABEE,LOT 10,CON 30,OVERBURDEN,"GRAVEL AND SAND,",N/A,N/A,N/A,9.91,5.08,SCREEN:,44.32123,-78.26295,208.44,253
209,PRIVATE LAND,W0000061-1,TORONTO AND REGION C.A.,YORK REGIONAL MUNICIPALITY,KING,LOT 10,CON 7,OVERBURDEN,GRAVEL,6923544,N/A,N/A,192.63,5.08,SCREEN: 186.7M-189.8M,0,0,266.89,61
210,PRIVATE LAND,W0000062-1,LAKE SIMCOE REGION C.A.,DURHAM REGIONAL MUNICIPALITY,BROCK,LOT 22,CON 9,OVERBURDEN,SILTY SAND,1915184,N/A,N/A,9.6,5,SCREEN: 7.1M-8.7M,0,0,270.13,62
211,PRIVATE LAND,W0000247-1,LOWER THAMES VALLEY C.A.,CHATHAM-KENT DIVISION,CHATHAM,LOT 1,CON 3,BEDROCK,SHALE,3308162,N/A,N/A,25.6,10.16,OPEN HOLE: 21.03M-25.60M,0,0,180.15,247
212,PRIVATE LAND,W0000109-2,ST. CLAIR REGION C.A.,LAMBTON COUNTY,DAWN,LOT 31,CON 4,INTERFACE,"SAND, SILTY CLAY, BEDROCK",N/A,CLAY - 18.75M; SILTY SAND - 18.85M; SHALE - 19.74M,N/A,19.74,5.08,SCREEN: 18.75M-19.36 M,0,0,198.42,109
213,PRIVATE LAND,W0000208-1,GANARASKA REGION C.A.,NORTHUMBERLAND COUNTY,HOPE,LOT 26,CON 3,OVERBURDEN,GRAVELLY BROWN CLAY,1901998,N/A,N/A,6.75,106.68,SCREEN: 3.6 - 6.75M,0,0,150.04,208
214,NOT PRIVATE LAND,W0000218-3,UPPER THAMES RIVER C.A.,PERTH COUNTY,NORTH EASTHOPE,LOT 20,CON 2,OVERBURDEN,SILTY SAND,5005359,N/A,N/A,6.71,5.08,SCREEN: 3.6M-6.7M,43.38006,-80.835181,368.9,218
215,NOT PRIVATE LAND,W0000218-4,UPPER THAMES RIVER C.A.,PERTH COUNTY,NORTH EASTHOPE,LOT 20,CON 2,OVERBURDEN,SAND,5005359,N/A,N/A,24.08,5.08,SCREEN: 21.0M-24.1M,43.38006,-80.835181,368.9,218
216,NOT PRIVATE LAND,W0000223-1,NOTTAWASAGA VALLEY C.A.,SIMCOE COUNTY,VESPRA,LOT 22,CON 7,OVERBURDEN,SAND,N/A,SAND - 53.0M; SILT - 71.6M; SAND - 89.3M,N/A,77.72,5.08,SCREEN: 73.8M-76.8M,44.3832,-79.73099,284.9,223
217,NOT PRIVATE LAND,W0000289-1,NIAGARA PENINSULA C.A.,NIAGARA REGIONAL MUNICIPALITY,HUMBERSTONE,LOT 1,CON 2,BEDROCK,LIMESTONE,N/A,SILTY CLAY - 2.0M; LIMESTONE - 4.9M,N/A,4.5,5.08,SCREEN: 3.4M-4.5M,42.90117,-79.115742,186.34,289
218,NOT PRIVATE LAND,W0000290-1,NIAGARA PENINSULA C.A.,NIAGARA REGIONAL MUNICIPALITY,WILLOUGHBY,LOT 5,CON 5,BEDROCK,SHALE,N/A,SILTY CLAY - 13.7M; TILL - 16.9M; SHALE - 20.1M,N/A,19.69,5.08,SCREEN: 18.6M-19.7M,42.98972,-79.090852,177.7,290
219,NOT PRIVATE LAND,W0000340-1,AUSABLE BAYFIELD C.A.,HURON COUNTY,STEPHEN,LOT 12,CON 18,BEDROCK,LIMESTONE,3007491,N/A,N/A,39.62,15.88,OPEN HOLE: 36.3M-39.6M,43.28863,-81.699998,203.21,340
220,NOT PRIVATE LAND,W0000370-1,UPPER THAMES RIVER C.A.,MIDDLESEX COUNTY,LONDON,LOT 1,CON 5,OVERBURDEN,"SAND, GRAVELLY CLAY",4115430,N/A,N/A,12.8,5.08,SCREEN: 9.75M-12.80M,43.06671,-81.175239,274.63,370
221,NOT PRIVATE LAND,W0000371-2,UPPER THAMES RIVER C.A.,PERTH COUNTY,BLANSHARD,LOT 21,CON 11,OVERBURDEN,SAND,5005547,N/A,N/A,26.52,5.08,SCREEN: 23.5M-26.5M,43.23202,-81.271462,309.84,371
222,NOT PRIVATE LAND,W0000435-1,ST. CLAIR REGION C.A.,LAMBTON COUNTY,BROOKE,LOT 23,CON 6,BEDROCK,BLACK AND GREY SHALE,N/A,13404656 TO BE CONFIRMED,N/A,12.5,10,OPEN HOLE:,42.82654,-81.836042,218.25,435
223,NOT PRIVATE LAND,W0000436-1,ST. CLAIR REGION C.A.,MIDDLESEX COUNTY,CARADOC,LOT 6,CON 8,OVERBURDEN,SAND,4115783,N/A,N/A,10.7,4.78,SCREEN: 7.6M-10.7M,42.91662,-81.629207,230.52,436
224,NOT PRIVATE LAND,W0000225-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,SOUTH MONAGHAN,LOT 5,CON 4,BEDROCK,LIMESTONE,5109005,N/A,N/A,22.56,15.88,OPEN HOLE: 12.2 - 22.5,44.17673,-78.34317,191.26,225
225,NOT PRIVATE LAND,W0000260-1,MISSISSIPPI VALLEY C.A.,FRONTENAC COUNTY,CLARENDON AND MILLER,LOT 10,CON 1,OVERBURDEN,GRAVEL,2217743,N/A,N/A,24.9,15.88,OPEN HOLE AT BOTTOM OF CASING = 24.9M,44.9974,-77.08077,296.92,260
226,PRIVATE LAND,W0000240-1,SAUGEEN VALLEY C.A.,BRUCE COUNTY,SAUGEEN,LOT 30,CON LR,OVERBURDEN,SAND,N/A,N/A,N/A,2.5,7.62,CONCRETE TILE,0,0,178.28,240
227,NOT PRIVATE LAND,W0000242-1,SAUGEEN VALLEY C.A.,BRUCE COUNTY,BRUCE,LOT 2,CON 1,BEDROCK,"LIMESTONE, SHALE",1404483,N/A,N/A,77.72,16.51,OPEN HOLE: 39.6M-77.7M,44.27037,-81.536179,240.1,242
228,NOT PRIVATE LAND,W0000243-1,CROWE VALLEY C.A.,NORTHUMBERLAND COUNTY,SEYMOUR,LOT 20,CON 11,BEDROCK,GREY LIMESTONE,4503120,N/A,N/A,14.6,15.88,OPEN HOLE: 4.0 - 14.6M,44.37884,-77.75412,164,243
229,NOT PRIVATE LAND,W0000244-2,NOTTAWASAGA VALLEY C.A.,SIMCOE COUNTY,VESPRA,LOT 13,CON 5,OVERBURDEN,SANDY SILT,N/A,"SAND, GRAVEL - 4.1M; SAND - 16.2M; SILT - 20.3M",N/A,20.27,5.08,SCREEN: 18.3M-19.8M,44.43521,-79.74211,239.9,244
230,NOT PRIVATE LAND,W0000254-1,OTONABEE REGION C.A.,PETERBOROUGH COUNTY,ASPHODEL,LOT 6,CON 2,BEDROCK,INTERBEDDED LIMESTONE AND SHALE,5119203,N/A,N/A,12,8.26,OPEN HOLE: 4.4 - 12 M,44.29853,-78.0453,189.47,254
