PGMN_WELL	SampleDate	SampleNumber	LabName	Ionbalance	Comments
W0000107-1	2009-10-27	C172489-0001	MOE	1.6	
W0000108-1	2002-11-04	C99796-0001	MOE	15	Incomplete General Chemistry - Alkalinity/Nutrients missing; Chromium suspect
W0000109-2	2002-11-05	C99796-0002	MOE	0.016	Incomplete General Chemistry - Alkalinity/Nutrients missing; Calcium suspect
W0000109-2	2005-10-24	C131498-0001	MOE	9.5	
W0000109-2	2006-11-24	P74619	Maxxam Analytics Inc 	2.82	 
W0000109-2	2007-03-27	R54215	Maxxam Analytics Inc 	7.8	Ionic balance > 5%, use with caution; Sodium suspect
W0000109-2	2008-09-16	C162965-0006	MOE	2.6	
W0000109-2	2009-10-14	C171994-0002	MOE	12.0	Ionic balance > 5%, use with caution; Calcium, Magnesium suspect
W0000109-2	2010-10-19	C180936-0001	MOE	6.1	
W0000109-2	2011-11-04	C190126-0001	MOE	0.31	
W0000109-2	2012-10-16	C198096-0001	MOE	2.5	
W0000109-2	2013-10-21	C207178-0001	MOE	11.0	
W0000109-2	2014-10-07	C215293-0001	MOE	7.9	
W0000109-2	2015-09-29	C223782-0001	MOE		
W0000112-1	2002-09-04	C97771-0001	MOE	6.9 	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000112-1	2005-10-26	C131546-0001	MOE	1.6 	Use with caution - Inconsistent with other results (Chloride, Barium, Strontium, Sulphate; Iron, Manganese, Zincï¿½)
W0000112-1	2008-11-26	C164879-0001	MOE	1.1 	
W0000112-1	2009-10-09	C171977-0001	MOE	4.9 	
W0000112-1	2010-11-02	C181390-0001	MOE	13 RE-calculation(addSr,Fe)= 7%	
W0000112-1	2011-10-03	C189099-0001	MOE		
W0000112-1	2012-11-19	C199133-0001	MOE	11	
W0000112-1	2014-12-02	C216834-0002	MOE	7.6	
W0000112-1	2015-10-27	C225004-0001	MOE	1.3	
W0000113-1	2002-10-23	C99360-0001	MOE	330.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Cations suspect
W0000113-1	2006-11-28	113-1-0611	SGS Lakefield Research Limited	-3.3199999332	 
W0000113-1	2007-11-07	CA10176-NOV07-02	SGS Lakefield Research Limited	1.6100000143000002	 
W0000113-1	2008-11-27	C164913-0001	MOE	2.6	
W0000113-1	2009-11-23	C173131-0002	MOE	2.4	
W0000113-1	2010-10-22	C181195-0001	MOE	2.9	
W0000113-1	2011-11-02	C190048-0001	MOE	2.5	
W0000113-1	2012-10-24	C198477-0001	MOE	0.066	
W0000113-1	2013-10-29	C207533-0001	MOE	0.0017	
W0000113-1	2014-10-28	C216044-0001	MOE	2.5	
W0000113-1	2015-10-30	C225266-0001	MOE	5.6	
W0000114-2	2002-10-31	C99712-0001	MOE	0.75	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000114-2	2006-12-12	114-2-0612	SGS Lakefield Research Limited	-2.9300000668	 
W0000114-2	2007-11-13	CA13299-NOV07-02	SGS Lakefield Research Limited	1.7300000191	 
W0000114-2	2008-11-05	C164311-0001	MOE	1.4	
W0000114-2	2009-11-26	C173205-0001	MOE	5.7	
W0000114-2	2010-11-04	C181429-0001	MOE	3.7	
W0000114-2	2011-10-19	C189536-0001	MOE	0.05	
W0000114-3	2002-10-31	C99713-0001	MOE	2.7	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000114-3	2006-12-19	114-3-0612	SGS Lakefield Research Limited	-0.94999998808	 
W0000114-3	2007-11-13	CA13299-NOV07-03	SGS Lakefield Research Limited	-16.200000763	Ionic balance > 15%, use with caution; Alkalinity suspect
W0000114-3	2008-11-12	C164467-0001	MOE	5.7	
W0000114-3	2009-11-26	C173205-0002	MOE	6.9	
W0000114-3	2010-11-04	C181429-0002	MOE	2.7	
W0000114-3	2011-10-19	C189536-0002	MOE	9.3	
W0000114-3	2012-10-15	C198100-0001	MOE	5.5	
W0000114-3	2013-11-04	C207703-0001	MOE	4.3	
W0000114-3	2014-11-04	C216230-0002	MOE	15.0	Ionic balance > 5%, use with caution;
W0000114-3	2015-11-05	C225266-0002	MOE	4.5	
W0000114-4	2002-10-31	C99714-0001	MOE	1.5	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000114-4	2006-12-12	114-4-0612	SGS Lakefield Research Limited	-3.3099999427999998	 
W0000114-4	2007-11-13	CA13299-NOV07-04	SGS Lakefield Research Limited	-61.75	Ionic balance > 60%, use with caution; Alkalinity suspect
W0000115-2	2002-11-26	C100465-0001	MOE	17.0	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000115-2	2006-04-26	L76536	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution; Calcium suspect
W0000115-2	2006-04-26	B06-11812-1	Caduceon Environmental Laboratories		Incomplete General Chemistry - Nutrients only - see analyses L76536 for General Chemistry and Metals
W0000115-2	2008-09-29	C163367-0001	MOE	0.61	
W0000115-2	2009-10-05	C171806-0005	MOE	5.9	
W0000115-2	2010-09-27	C180400-0002	MOE	3.1	
W0000115-2	2011-10-04	C189285-0002	MOE	3.9	
W0000115-2	2012-09-25	C197572-0001	MOE	16.0	Ionic balance > 5%, use with caution;
W0000115-2	2013-10-23	C207406-0001	MOE	9.1	
W0000115-2	2014-09-29	C215099-0001	MOE	3.8	
W0000115-2	2015-10-13	C224417-0001	MOE	3.9	
W0000115-3	2002-11-26	C100465-0002	MOE	6.9	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000115-3	2006-04-26	L76537	Maxxam Analytics Inc 		Ionic balance > 10%, use with caution; Chloride suspect
W0000115-3	2006-04-26	B06-11812-2	Caduceon Environmental Laboratories		Incomplete General Chemistry - Nutrients only - see analyses L76537 for General Chemistry and Metals
W0000115-3	2007-09-25	CA10730-SEP07-10	SGS Lakefield Research Limited		Incomplete General Chemistry - CATIONS missing; Alkalinity missing
W0000115-3	2008-09-29	C163367-0002	MOE	3.9	
W0000115-3	2009-10-05	C171806-0004	MOE	6.4	
W0000115-3	2010-09-27	C180400-0003	MOE	6.0	
W0000115-3	2011-10-04	C189285-0003	MOE	0.83	
W0000115-3	2012-09-25	C197572-0002	MOE	6.4	
W0000115-3	2013-10-23	C207406-0002	MOE	1.7	
W0000115-3	2014-09-29	C215099-0002	MOE	5.1	
W0000115-3	2015-10-13	C224417-0002	MOE	4.3	
W0000117-2	2002-08-13	C96938-0001	MOE	9.7	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000117-2	2006-04-28	L78533	Maxxam Analytics Inc 		 
W0000117-2	2006-04-28	B06-12447-1	Caduceon Environmental Laboratories		Incomplete General Chemistry - Nutrients only - see analyses L78533 for General Chemistry and Metals
W0000117-2	2007-09-25	CA10730-SEP07-12	SGS Lakefield Research Limited		Incomplete General Chemistry - CATIONS missing; Alkalinity missing
W0000117-2	2008-10-01	C163367-0007	MOE	5.1	
W0000117-2	2009-12-02	C173366-0001	MOE	0.62	
W0000117-2	2010-09-30	C180400-0006	MOE	1.1	
W0000117-2	2011-10-06	C189285-0006	MOE	9.0	
W0000117-2	2012-09-28	C197661-0001	MOE	12.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000117-2	2013-10-10	C206935-0002	MOE	0.43	
W0000117-2	2014-10-01	C215099-0004	MOE	2.7	
W0000117-2	2015-10-20	C224697-0001	MOE		
W0000118-2	2007-09-21	B07-29104-28	Caduceon Environmental Laboratories	12.5	Incomplete General Chemistry - Alkalinity missing; 
W0000119-2	2007-09-21	B07-29104-27	Caduceon Environmental Laboratories	1.76	 
W0000119-2	2009-10-21	C172419-0008	MOE	0.0096	
W0000119-2	2010-12-06	C182218-0001	MOE	2.7	
W0000119-2	2011-11-11	C190351-0001	MOE	31.0	
W0000119-2	2012-06-13	C194708-0001	MOE	20.0	Ionic balance > 5%, use with caution; Chloride suspect
W0000119-2	2012-10-24	C198435-0008	MOE	7.9	
W0000119-2	2013-10-24	C207403-0003	MOE	3.4	
W0000119-2	2014-10-22	C215842-0009	MOE	5.8	
W0000121-1	2003-09-11	C109064-0001	MOE	3.8 	
W0000121-1	2005-10-20	B05-29885-2	Caduceon Environmental Laboratories	3.02 	Ionic balance > 50%, use with caution; Chloride, Sulphate suspect
W0000121-1	2008-10-02	C163381-0001	MOE	2.6 	
W0000121-1	2009-11-12	C172989-0001	MOE	3.9 	
W0000121-1	2010-10-14	C180887-0001	MOE	 [ NDID  ] 	Incomplete General Chemistry - Chloride missing
W0000121-1	2011-06-29	C186354-0002	MOE		Ionic balance > 5%, use with caution; Calcium suspect
W0000121-1	2012-09-24	C197571-0002	MOE	0.61	
W0000121-1	2013-09-17	C206218-0001	MOE	2.8	
W0000121-1	2014-11-05	C216279-0001	MOE	0.47	
W0000121-1	2015-11-16	C225494-0001	MOE	13	Ionic balance > 5%, use with caution;
W0000122-1	2002-07-26	C96370-0001	MOE	3.3 	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000122-1	2005-10-25	B05-30440-3	Caduceon Environmental Laboratories	3.57 	Error with Well ID (the analytical results belong to W0000174-1)
W0000122-1	2006-05-11	B06-13651-3	Caduceon Environmental Laboratories	0.807 	 
W0000122-1	2006-10-18	B06-32010-3	Caduceon Environmental Laboratories	7.14 	 
W0000122-1	2008-11-11	C164469-0001	MOE	2.6 	
W0000122-1	2010-10-13	C180887-0009	MOE	 [ NDID  ] 	Incomplete General Chemistry - Chloride missing
W0000122-1	2011-08-10	C187572-0001	MOE		
W0000122-1	2012-09-25	C197571-0006	MOE	11	Ionic balance > 5%, use with caution; Calcium suspect
W0000122-1	2013-09-26	C206446-0001	MOE	3.1	
W0000122-1	2014-10-29	C216074-0001	MOE		
W0000122-1	2015-11-10	C225393-0002	MOE	4.6	
W0000123-1	2003-09-09	C108967-0001	MOE	0.48 	
W0000123-1	2005-11-03	B05-31378-1	Caduceon Environmental Laboratories	3.86 	Antimony suspect
W0000123-1	2006-05-11	B06-13651-1	Caduceon Environmental Laboratories	3.68 	 
W0000123-1	2006-10-18	B06-32010-1	Caduceon Environmental Laboratories	4.17 	 
W0000123-1	2008-09-29	C163280-0001	MOE	4.9 	
W0000123-1	2010-10-13	C180887-0005	MOE	 [ NDID  ] 	Incomplete General Chemistry - Chloride missing
W0000123-1	2011-08-15	C187686-0001	MOE		
W0000123-1	2012-08-15	C196510-0001	MOE	3.3	
W0000123-1	2013-09-09	C205942-0001	MOE	1.4	
W0000123-1	2014-11-11	C216403-0001	MOE	8.1	
W0000123-1	2015-11-02	C225225-0001	MOE	8.4	
W0000124-1	2007-07-11	556565	ACCUTEST LABORATORIES LTD	0.95 [ 0.01  ] 	
W0000124-1	2008-04-16	C158969-0001	MOE	7.9 	
W0000124-1	2008-10-20	C163881-0001	MOE	11 	
W0000124-1	2009-10-09	C171851-0002	MOE	6.5 	
W0000124-1	2010-11-09	C181550-0002	MOE	5.9 	
W0000124-1	2012-09-25	C197606-0009	MOE	5.7	
W0000124-1	2013-10-02	C206704-0002	MOE	3.1	
W0000124-1	2014-09-23	C214831-0002	MOE	0.21	
W0000124-1	2015-10-01	C223890-0004	MOE	0.4	
W0000125-1	2003-10-28	C110742-0002	MOE	5.3 	Metals Suspect (insufficient preservative used)
W0000125-1	2005-09-27	C130424-0001	MOE	2.1 	Metals Suspect - acid in bottle before sample
W0000125-1	2007-07-10	556401	ACCUTEST LABORATORIES LTD	0.95 [ 0.01  ] 	Aluminum suspect;
W0000125-1	2008-10-20	C163881-0005	MOE	7.2 	
W0000125-1	2009-10-09	C171851-0001	MOE	18 	Ionic balance > 5%, use with caution; Sodium, Sulphate suspect
W0000125-1	2012-09-25	C197606-0010	MOE	6.5	
W0000125-1	2013-09-30	C206682-0004	MOE	0.48	
W0000125-1	2014-09-22	C214831-0003	MOE	1.5	
W0000125-1	2015-09-23	C223616-0001	MOE	2.2	
W0000127-1	2003-08-13	C108109-0001	MOE	1.1	
W0000127-1	2007-09-14	B07-28684-1	Caduceon Environmental Laboratories	4.55	Ionic balance > 5%, use with caution;
W0000127-1	2008-10-01	C163319-0002	MOE	19.0	Ionic balance > 5%, use with caution; Calcium, Alkalinity suspect
W0000127-1	2009-10-01	C171587-0003	MOE	6.2	
W0000127-1	2010-10-21	C181075-0001	MOE	0.32	
W0000127-1	2011-10-03	C189049-0001	MOE		Ionic balance > 5%, use with caution;
W0000127-1	2012-09-19	C197381-0001	MOE		
W0000127-1	2013-11-25	C208232-0002	MOE	1.5	
W0000127-1	2014-11-17	C216541-0002	MOE	12.0	
W0000127-1	2015-10-19	C224579-0001	MOE	1.8	
W0000130-1	2004-02-23	C113375-0001	MOE	0.51	
W0000130-1	2005-10-11	C131034-0001	MOE	2.6	
W0000130-1	2007-11-28	B07-36623-2	Caduceon Environmental Laboratories	1.42	 
W0000130-1	2008-12-09	C165157-0001	MOE	7.4	
W0000130-1	2009-11-18	C173020-0002	MOE	3.3	
W0000130-1	2010-11-15	C181617-0002	MOE	5.9	
W0000130-1	2011-11-08	C190270-0002	MOE	6.7	
W0000130-1	2013-12-09	C208578-0001	MOE	5.4	
W0000130-1	2014-10-01	C215094-0002	MOE	0.99	
W0000130-1	2015-11-17	C225555-0002	MOE	30.0	Ionic balance > 10%, use with caution; Calcium suspect
W0000131-1	2004-02-05	C112889-0002	MOE	4.3	
W0000131-1	2007-01-10	B07-01156-1	Caduceon Environmental Laboratories	2.93	 
W0000131-1	2008-11-21	C164786-0001	MOE	1.2	
W0000131-1	2009-11-17	C173020-0001	MOE	2.1	
W0000131-1	2010-11-18	C181801-0001	MOE	5.6	
W0000131-1	2011-11-30	C190827-0002	MOE		
W0000131-1	2012-11-26	C199361-0001	MOE	3.6	
W0000131-1	2013-11-19	C208134-0001	MOE	4.2	
W0000131-1	2014-11-18	C216541-0003	MOE	10.0	Ionic balance > 5%, use with caution;
W0000131-1	2015-10-13	C224379-0001	MOE	3.4	
W0000132-1	2003-08-19	C108364-0002	MOE	0.82	
W0000132-1	2007-09-14	B07-28684-2	Caduceon Environmental Laboratories	3.98	 
W0000132-1	2008-12-01	C165030-0001	MOE	2.8	
W0000132-1	2009-10-15	C172099-0001	MOE	3.2	
W0000132-1	2010-09-15	C179946-0001	MOE	3.8	
W0000132-1	2011-10-17	C189445-0001	MOE	1.2	
W0000132-1	2012-10-02	C197711-0001	MOE	6.7	
W0000132-1	2013-10-29	C207590-0002	MOE	1.6	
W0000132-1	2014-11-24	C216590-0002	MOE	6.2	
W0000132-1	2015-10-22	C224701-0003	MOE		
W0000133-1	2004-01-29	C112711-0001	MOE	3.5 	
W0000133-1	2007-11-06	B07-34553-1	Caduceon Environmental Laboratories	3.26 	Incomplete General Chemistry - Calcium, Magnesium missing
W0000133-1	2008-10-15	C163766-0001	MOE	7.6 	
W0000133-1	2009-11-10	C172829-0002	MOE	11 RE-calculation(addSr,Fe)=7%	
W0000133-1	2010-11-24	C181926-0001	MOE	4 	
W0000133-1	2011-09-13	C188482-0002	MOE		
W0000133-1	2012-10-15	C198098-0002	MOE	7	
W0000133-1	2013-11-05	C207815-0001	MOE	2.2	
W0000133-1	2014-10-02	C215139-0001	MOE	2.1	
W0000133-1	2015-10-14	C224379-0003	MOE	1.1	
W0000134-1	2004-02-04	C112889-0001	MOE	4.8	METALS suspect;
W0000134-1	2006-12-13	B06-38144-1	Caduceon Environmental Laboratories	0.47700000000000004	
W0000134-1	2009-12-08	C173566-0001	MOE	3.7	
W0000134-1	2010-12-06	C182186-0001	MOE	3.8	
W0000134-1	2011-11-29	C190827-0001	MOE		
W0000134-1	2012-11-13	C198997-0001	MOE	10.0	
W0000134-1	2013-11-12	C207929-0002	MOE	2.8	
W0000134-1	2014-11-17	C216541-0001	MOE	15.0	Ionic balance > 5%, use with caution;
W0000134-1	2015-11-16	C225555-0001	MOE	2.4	
W0000137-1	2004-02-09	C112990-0001	MOE	9 	
W0000137-1	2007-09-24	B07-29661-1	Caduceon Environmental Laboratories	5.84 	 
W0000137-1	2008-12-16	C165260-0001	MOE	5.6 	
W0000137-1	2009-11-11	C172829-0004	MOE	9.8 	
W0000137-1	2010-11-29	C182076-0001	MOE	 [ NDID  ] 	
W0000137-1	2011-11-09	C190270-0003	MOE	10	
W0000137-1	2012-10-26	C198528-0001	MOE	9.3	
W0000137-1	2013-10-01	C206567-0002	MOE	490	Ionic balance > 5%, use with caution;
W0000137-1	2014-10-02	C215139-0002	MOE	7.1	
W0000138-1	2002-12-13	C98564-0001	MOE	11.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Inconsistent with other results
W0000138-1	2006-11-28	138-1-0611	SGS Lakefield Research Limited	1.1100000143000002	Use with caution - Inconsistent with other results
W0000138-1	2007-11-07	CA10176-NOV07-01	SGS Lakefield Research Limited	-2.8900001049	 
W0000138-1	2008-11-26	C164881-0001	MOE	1.9	
W0000138-1	2009-11-16	C172954-0001	MOE	5.8	
W0000138-1	2010-10-25	C181195-0002	MOE	3.1	
W0000138-1	2011-11-09	C190269-0001	MOE	6.2	
W0000138-1	2012-10-17	C198223-0001	MOE	7.7	
W0000138-1	2013-08-07	C204981-0001	MOE	5.9	
W0000138-1	2015-11-04	C225266-0003	MOE	2.7	
W0000142-1	2004-02-24	C113375-0002	MOE	10.0	Use with caution - Inconsistent with other results
W0000142-1	2005-10-05	B05-28244-4	Caduceon Environmental Laboratories	3.12	Use with caution - Inconsistent with other results
W0000142-1	2005-10-05	C130812-0001	MOE	9.0	Use with caution - Inconsistent with other results; Metals belong to w136-1
W0000142-1	2011-10-05	C189096-0002	MOE		Use with caution - Inconsistent with other results
W0000144-1	2003-12-16	C112040-0001	MOE	0.5	
W0000144-1	2005-10-03	B05-28244-1	Caduceon Environmental Laboratories	0.583	 
W0000144-1	2007-11-14	B07-35250-1	Caduceon Environmental Laboratories	0.275	 
W0000144-1	2008-11-10	C164400-0001	MOE	0.2	
W0000144-1	2009-10-07	C171811-0002	MOE	1.8	
W0000144-1	2010-11-19	C181801-0004	MOE	5.7	
W0000144-1	2011-09-20	C188705-0002	MOE		
W0000144-1	2012-10-24	C198428-0002	MOE	5.9	
W0000144-1	2013-10-02	C206614-0002	MOE	0.78	
W0000144-1	2014-11-03	C216189-0001	MOE	2.1	
W0000144-1	2015-10-01	C223886-0003	MOE	5.6	
W0000145-1	2005-12-07	C132790-0001	MOE	9.9	 
W0000145-1	2006-12-12	B06-37868-1	Caduceon Environmental Laboratories	2.88	 
W0000145-1	2008-10-31	C164212-0001	MOE	4.3	
W0000145-1	2009-12-14	C173688-0001	MOE	1.9	
W0000145-1	2010-11-12	C181617-0001	MOE	14.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000145-1	2011-09-27	C188913-0001	MOE		
W0000145-1	2012-11-14	C198997-0002	MOE	0.6	
W0000145-1	2013-10-23	C207355-0001	MOE	1.9	
W0000145-1	2014-11-04	C216189-0004	MOE	5.5	
W0000145-1	2015-10-06	C224065-0004	MOE	0.99	
W0000146-1	2004-02-19	C113249-0002	MOE	4.4	Use with caution - Magnesium, Sulphate inconsistent
W0000146-1	2005-10-04	B05-28244-2	Caduceon Environmental Laboratories	1.75	Use with caution - Sulphate Inconsistent with other results
W0000146-1	2007-09-28	B07-30082-1	Caduceon Environmental Laboratories	3.31	Use with caution - Inconsistent with other results; Selenium suspect
W0000146-1	2008-10-29	C164169-0001	MOE	6.9	
W0000146-1	2009-11-02	C172614-0001	MOE	1.7	
W0000146-1	2010-09-21	C180175-0001	MOE	3.2	
W0000146-1	2011-09-20	C188705-0001	MOE		
W0000146-1	2012-11-05	C198771-0001	MOE	16.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000146-1	2013-10-28	C207468-0002	MOE	0.66	
W0000146-1	2014-11-03	C216189-0003	MOE	1.8	
W0000146-1	2015-10-01	C223886-0002	MOE	6.0	
W0000148-1	2003-09-02	C108745-0001	MOE	2.0	
W0000148-1	2007-11-27	B07-36623-1	Caduceon Environmental Laboratories	1.25	 
W0000148-1	2009-10-06	C171811-0001	MOE	0.88	
W0000148-1	2010-11-25	C181926-0002	MOE	0.075	
W0000148-1	2011-11-22	C190596-0002	MOE		
W0000148-1	2012-11-21	C199194-0002	MOE	3.0	
W0000148-1	2013-11-20	C208134-0002	MOE	22.0	Ionic balance > 5%, use with caution;
W0000148-1	2014-09-24	C214863-0001	MOE	2.4	
W0000148-1	2015-10-21	C224701-0001	MOE		
W0000149-2	2003-05-29	C105421-0001	MOE	3	
W0000151-1	2004-02-03	C112890-0001	MOE	9.2	
W0000151-1	2007-11-16	B07-35698-1	Caduceon Environmental Laboratories	2.12	 
W0000151-1	2008-12-02	C165030-0002	MOE	4.3	
W0000151-1	2009-11-10	C172829-0003	MOE	5.2	
W0000151-1	2010-12-02	C182137-0001	MOE	2.2	
W0000151-1	2011-09-21	C188705-0003	MOE		
W0000151-1	2012-11-12	C198915-0001	MOE	14.0	Ionic balance > 5%, use with caution;
W0000151-1	2013-11-05	C207815-0003	MOE	25.0	Ionic balance > 10%, use with caution;
W0000151-1	2014-10-07	C215343-0002	MOE	3.8	
W0000151-1	2015-10-05	C224065-0001	MOE	3.3	
W0000152-1	2004-02-12	C113045-0001	MOE	8	
W0000153-1	2004-02-18	C113249-0001	MOE	3.0	
W0000153-1	2007-01-09	B07-01089-1	Caduceon Environmental Laboratories	2.12	Aluminum suspect;
W0000153-1	2008-11-19	C164685-0001	MOE	0.38	
W0000153-1	2009-12-03	C173369-0001	MOE	2.8	
W0000153-1	2010-12-06	C182186-0002	MOE	0.22	
W0000153-1	2011-10-26	C189833-0003	MOE	5.5	
W0000153-1	2012-10-15	C198098-0001	MOE	11.0	Ionic balance > 5%, use with caution;
W0000153-1	2013-11-12	C207929-0001	MOE	7.1	
W0000153-1	2014-10-07	C215343-0001	MOE	6.0	
W0000153-1	2015-10-14	C224379-0002	MOE	4.4	
W0000154-1	2004-02-03	C112890-0002	MOE	7.1	
W0000154-1	2006-09-26	B06-29517-1	Caduceon Environmental Laboratories	0.78	 
W0000154-1	2007-11-16	B07-35698-2	Caduceon Environmental Laboratories	0.395	 
W0000154-1	2008-11-12	C164507-0001	MOE	1.2	
W0000154-1	2009-11-09	C172829-0001	MOE	7.3	
W0000154-1	2010-12-02	C182137-0002	MOE	3.0	
W0000154-1	2011-09-21	C188705-0004	MOE		
W0000154-1	2012-11-12	C198915-0002	MOE	26.0	Ionic balance > 10%, use with caution; Calcium suspect
W0000154-1	2013-11-05	C207815-0002	MOE	33.0	Ionic balance > 10%, use with caution; Calcium suspect
W0000154-1	2014-10-07	C215343-0003	MOE	1.6	
W0000154-1	2015-10-05	C224065-0002	MOE	23.0	
W0000155-1	2004-01-21	C112624-0001	MOE	3.6	
W0000155-1	2005-10-06	C130808-0001	MOE	7.8	Selenium suspect
W0000156-2	2002-09-19	C98305-0001	MOE	0.66 	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000156-2	2003-07-31	C107697-0001	MOE	 [ NDID  ] 	
W0000156-2	2015-10-05	C223977-0001	MOE	1.5	
W0000156-3	2003-08-13	C108110-0001	MOE	5.9	
W0000156-3	2005-09-21	C130229-0001	MOE	6.3	
W0000156-3	2007-05-17	NP057	City of Ottawa Laboratory Services		Selenium suspect
W0000156-3	2007-12-18	NT756	City of Ottawa Laboratory Services		Selenium suspect
W0000156-3	2008-10-17	C164025-0004	MOE	6.6	
W0000156-3	2009-12-02	C173368-0001	MOE	1.2	
W0000156-3	2010-10-15	C180818-0001	MOE	1.0	
W0000156-3	2011-10-05	C189231-0001	MOE	6.2	
W0000156-3	2012-11-01	C198642-0002	MOE	3.5	
W0000156-3	2013-10-08	C206884-0001	MOE	0.091	
W0000157-2	2003-07-04	C106666-0001	MOE	4.9	Use with caution - Inconsistent with other results
W0000157-2	2007-05-17	NP059	City of Ottawa Laboratory Services		Use with caution - Inconsistent with other results; Selenium, Uranium suspect;
W0000157-2	2007-12-18	NT762	City of Ottawa Laboratory Services		Use with caution - Inconsistent with other results; Fluoride suspect; Selenium, Uranium suspect
W0000157-2	2009-12-02	C173368-0002	MOE	3.2	Use with caution - Inconsistent with other results
W0000157-2	2011-10-05	C189231-0003	MOE	1.3	Use with caution - Inconsistent with other results
W0000157-2	2012-10-30	C198642-0001	MOE	2.2	
W0000157-2	2013-10-16	C207058-0004	MOE	1.3	
W0000157-2	2015-10-07	C224118-0002	MOE	0.58	
W0000157-3	2003-07-18	C107204-0001	MOE	1.1 	
W0000157-3	2008-10-17	C164025-0005	MOE	6.1 	
W0000157-3	2010-10-15	C180818-0002	MOE	 [ NDID  ] 	Incomplete General Chemistry - Chloride missing
W0000157-3	2011-10-05	C189231-0002	MOE	0.6	
W0000157-3	2012-10-24	C198432-0002	MOE	5.7	
W0000157-3	2013-10-16	C207058-0003	MOE	13	Ionic balance > 5%, use with caution;
W0000158-1	2002-08-28	C97549-0001	MOE	37.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Chloride suspect; Chromium, Selenium suspect
W0000158-1	2005-10-04	C130811-0001	MOE	7.1	Chromium suspect
W0000158-1	2005-10-04	B05-28244-3	Caduceon Environmental Laboratories	6.31	Ionic balance > 5%, use with caution; Chromium suspect
W0000158-1	2006-10-02	B06-30008-3	Caduceon Environmental Laboratories	5.94	Ionic balance > 5%, use with caution; Selenium suspect
W0000158-1	2011-11-21	C190596-0001	MOE		Ionic balance > 5%, use with caution; Inconsistent with other results; METALS suspect
W0000158-1	2012-11-27	C199361-0003	MOE	7.0	
W0000158-1	2013-11-06	C207816-0001	MOE	13.0	Ionic balance > 5%, use with caution;
W0000158-1	2014-11-05	C216229-0001	MOE	0.29	
W0000159-2	2004-02-16	C113167-0001	MOE	0.59	Use with caution - Inconsistent with other results; Calcium, Alkalinity suspect
W0000159-2	2006-10-02	B06-30008-1	Caduceon Environmental Laboratories	6.16	Ionic balance > 5%, use with caution; Calcium, Alkalinity suspect
W0000159-2	2007-11-26	B07-36217-1	Caduceon Environmental Laboratories	2.79	 
W0000159-2	2011-10-25	C189833-0001	MOE	11.0	Ionic balance > 5%, use with caution;
W0000159-2	2012-10-12	C198162-0002	MOE	18.0	Ionic balance > 5%, use with caution;
W0000159-3	2004-02-17	C113167-0002	MOE	9.8	
W0000159-3	2006-10-02	B06-30008-2	Caduceon Environmental Laboratories	6.19	Ionic balance > 5%, use with caution; Cations, Chloride nconsistent with other results; Selenium, Strontium suspect
W0000159-3	2007-11-26	B07-36217-3	Caduceon Environmental Laboratories	0.902	Use with caution - Inconsistent with other results; Selenium, Strontium suspect
W0000159-3	2008-12-11	C165157-0002	MOE	6.8	
W0000159-3	2009-10-07	C171814-0001	MOE	3.4	
W0000159-3	2010-11-19	C181801-0002	MOE	7.0	
W0000159-3	2011-10-25	C189833-0002	MOE	7.0	
W0000159-3	2012-10-12	C198162-0001	MOE	11.0	
W0000159-3	2013-12-10	C208578-0002	MOE	17.0	Ionic balance > 5%, use with caution;
W0000159-3	2014-10-08	C215343-0005	MOE	8.0	Use with caution - Inconsistent with other results;
W0000160-1	2003-09-17	C109373-0001	MOE	1.7	
W0000162-1	2003-07-29	C107624-0001	MOE	5.9	
W0000162-1	2004-10-01	04-A036919	Maxxam Analytics Inc 	4.28	 
W0000162-1	2005-11-15	J45095	Maxxam Analytics Inc 	9.37	Ionic balance > 10%, use with caution; Chloride suspect
W0000162-1	2006-10-05	O72570	Maxxam Analytics Inc 	4.65	 
W0000162-1	2007-10-11	V22595	Maxxam Analytics Inc 	0.97	 
W0000162-1	2008-09-30	C163279-0004	MOE	19.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000162-1	2009-09-24	C171400-0001	MOE	2.3	
W0000162-1	2010-09-20	C180123-0002	MOE	10.0	
W0000162-1	2011-09-21	C188703-0005	MOE		
W0000162-1	2012-09-24	C197525-0006	MOE	2.6	
W0000162-1	2013-09-10	C205943-0004	MOE	5.7	
